,MotionStatus,bndbox_angle,bndbox_xmax,bndbox_xmin,bndbox_ymax,bndbox_ymin,class,color,depth,difficult,filename,frame_id,from_video,height,id,occluded,score,velocity_x,velocity_y,width
0,null,0,1252,1213,138,51,car,null,3,1,flight1_MWIR_055758.png,126,0,1080,1,0,null,0,0,1920
1,null,0,1217,1174,143,54,car,null,3,1,flight1_MWIR_055758.png,126,0,1080,2,0,null,0,0,1920
2,null,0,1168,1126,138,46,car,null,3,1,flight1_MWIR_055758.png,126,0,1080,3,0,null,0,0,1920
3,null,0,1316,1276,356,274,car,null,3,1,flight1_MWIR_055758.png,126,0,1080,4,0,null,0,0,1920
4,null,336,1005,968,227,142,car,null,3,1,flight1_MWIR_055758.png,126,0,1080,5,0,null,0,0,1920
5,null,336,989,949,288,189,car,null,3,1,flight1_MWIR_055758.png,126,0,1080,6,0,null,0,0,1920
6,null,342,713,673,363,273,car,null,3,1,flight1_MWIR_055758.png,126,0,1080,7,0,null,0,0,1920
7,null,321,661,622,215,139,car,null,3,1,flight1_MWIR_055758.png,126,0,1080,8,0,null,0,0,1920
8,null,0,490,449,275,183,car,null,3,1,flight1_MWIR_055758.png,126,0,1080,9,0,null,0,0,1920
9,null,0,432,389,271,179,car,null,3,1,flight1_MWIR_055758.png,126,0,1080,10,0,null,0,0,1920
10,null,321,1404,1383,321,287,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,1,0,null,0,0,1920
11,null,319,1384,1361,335,298,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,2,0,null,0,0,1920
12,null,310,1359,1335,337,298,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,3,0,null,0,0,1920
13,null,312,1344,1325,347,308,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,4,0,null,0,0,1920
14,null,304,1333,1313,358,318,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,5,0,null,0,0,1920
15,null,310,1321,1301,363,324,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,6,0,null,0,0,1920
16,null,304,1302,1280,375,333,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,7,0,null,0,0,1920
17,null,303,1296,1272,393,352,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,8,0,null,0,0,1920
18,null,294,1275,1253,407,366,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,9,0,null,0,0,1920
19,null,45,1344,1324,398,368,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,10,0,null,0,0,1920
20,null,46,1509,1486,515,483,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,11,0,null,0,0,1920
21,null,49,1418,1391,153,113,car,null,3,1,flight1_MWIR_030064.png,50,0,1080,12,0,null,0,0,1920
